Date,Open,High,Low,Close,Volume
14/10/2016 17:26:00,1.2,1.23,1.17,1.21,87743
17/10/2016 17:26:00,1.23,1.25,1.18,1.23,73946
18/10/2016 17:26:00,1.24,1.27,1.21,1.25,119093
19/10/2016 17:26:00,1.23,1.3,1.23,1.26,116119
20/10/2016 17:26:00,1.28,1.29,1.23,1.25,100205
21/10/2016 17:26:00,1.26,1.27,1.23,1.25,18791
24/10/2016 17:26:00,1.25,1.27,1.2,1.23,54108
25/10/2016 17:26:00,1.22,1.26,1.19,1.22,116025
26/10/2016 17:26:00,1.2,1.23,1.2,1.22,7456
27/10/2016 17:26:00,1.2,1.22,1.19,1.2,33417
28/10/2016 17:26:00,1.19,1.23,1.18,1.23,65273
31/10/2016 17:26:00,1.22,1.22,1.19,1.21,24488
1/11/2016 17:26:00,1.19,1.21,1.19,1.2,11955
2/11/2016 17:26:00,1.22,1.25,1.19,1.21,75582
3/11/2016 17:26:00,1.23,1.23,1.22,1.23,1186
4/11/2016 17:26:00,1.23,1.24,1.19,1.23,137632
7/11/2016 17:26:00,1.24,1.25,1.21,1.24,76914
8/11/2016 17:26:00,1.26,1.26,1.19,1.25,189039
9/11/2016 17:26:00,1.23,1.26,1.2,1.25,263488
10/11/2016 17:26:00,1.23,1.26,1.23,1.25,58978
11/11/2016 17:26:00,1.24,1.26,1.23,1.26,109219
14/11/2016 17:26:00,1.24,1.29,1.24,1.28,69945
15/11/2016 17:26:00,1.26,1.31,1.26,1.27,67269
16/11/2016 17:26:00,1.28,1.28,1.26,1.28,41871
17/11/2016 17:26:00,1.3,1.3,1.25,1.25,80658
18/11/2016 17:26:00,1.25,1.29,1.25,1.25,32308
21/11/2016 17:26:00,1.25,1.29,1.24,1.29,55490
22/11/2016 17:26:00,1.31,1.34,1.29,1.33,189528
23/11/2016 17:26:00,1.34,1.37,1.31,1.35,116912
24/11/2016 17:26:00,1.36,1.39,1.35,1.39,72773
25/11/2016 17:26:00,1.4,1.41,1.35,1.35,98319
28/11/2016 17:26:00,1.35,1.37,1.3,1.36,59454
29/11/2016 17:26:00,1.37,1.37,1.32,1.34,65856
30/11/2016 17:26:00,1.31,1.35,1.3,1.3,33389
1/12/2016 17:26:00,1.3,1.33,1.3,1.33,18872
2/12/2016 17:26:00,1.31,1.33,1.3,1.3,26490
5/12/2016 17:26:00,1.3,1.37,1.3,1.35,60839
6/12/2016 17:26:00,1.36,1.38,1.34,1.38,60297
7/12/2016 17:26:00,1.38,1.39,1.33,1.35,128152
8/12/2016 17:26:00,1.36,1.38,1.36,1.36,9503
9/12/2016 17:26:00,1.37,1.38,1.34,1.37,24602
12/12/2016 17:26:00,1.38,1.48,1.37,1.43,314845
13/12/2016 17:26:00,1.43,1.47,1.38,1.41,221506
14/12/2016 17:26:00,1.43,1.44,1.41,1.41,39098
15/12/2016 17:26:00,1.42,1.42,1.4,1.41,19524
16/12/2016 17:26:00,1.4,1.43,1.4,1.41,19179
19/12/2016 17:26:00,1.4,1.41,1.4,1.4,26740
20/12/2016 17:26:00,1.4,1.42,1.4,1.4,32315
21/12/2016 17:26:00,1.42,1.42,1.4,1.41,41004
